Session,EventRene,Ave_Surprised,Ave_Angry,Ave_Disgusted,Ave_Happy,Ave_Sad,Ave_Scared
Klaas_C,BS,1.9895232167765415e-08,0.007102817083203426,0.000246201510729919,0.00250424456829198,0.0005290166917065625,0.002836189553855196
Klaas_C,CG,5.6220496270473336e-09,0.013896552883712434,0.0019751267220637554,0.0008099379409215844,0.015678706016875103,0.0009050208448295402
Klaas_C,FT,1.610703488370377e-07,0.01937472675485586,0.0009876437395984,0.000418832718494119,0.012649601638455918,0.0005239893475221634
Klaas_C,HF,5.004554920360575e-05,0.027021669427573034,0.0021399420622989222,0.00038619718466663974,0.03364486201394402,0.0010746545959389778
Leonie_C,All,0.01824472581376944,0.0008430656584544656,0.001497038117061795,1.3134523888091855e-05,0.014514366338770918,0.004483073179491073
Leonie_C,BS,3.2299379378075284e-05,0.013750467384967893,0.0010512031169515107,1.2870953452468816e-06,0.0106006648293928,0.0015275916868915725
Leonie_C,CG,4.384895471408127e-05,0.00857866482824708,4.1633885311380994e-07,1.7713890582495924e-05,4.098890498095186e-06,0.00027001445342035693
Leonie_C,FT,0.040495559457488874,6.201173707993298e-08,0.0005137070080649252,7.367594503924444e-07,0.012367366511723906,5.685300326868321e-06
Leonie_C,HF,0.010068772408174746,0.0018298876667751235,0.0031640077416643306,2.1275655976222967e-06,0.048870531909218654,0.01212857426024581
Lieve_C,All,0.002127993207980076,8.140286427147502e-05,7.218915988301307e-08,0.027412585528943594,0.0018218016167523279,0.00012803703117671717
Lieve_C,BS,0.0005853897183535447,0.0002036779251293862,5.8007026649254494e-05,0.0,0.0006461888224510045,3.365730540337601e-06
Lieve_C,CG,6.282061778368865e-07,0.0004041280332929058,0.0005409307165656946,0.00010106733633607539,0.0010777558948562298,0.0
Lieve_C,FT,0.00046230768318580563,0.00021324533584702812,1.568266086593044e-05,0.0,0.00023119142706475216,4.003753454516365e-07
Lieve_C,HF,0.0006320063644852848,6.63757737195129e-05,8.413652620202123e-05,0.0,0.0006038665481999089,6.992486220555441e-10
Mira_C,All,0.1117601038372656,0.0013711406483054675,1.2979964418472256e-05,0.0,0.0003440999097017592,0.00048118382418573755
Mira_C,BS,0.11840415320436833,0.0020826074522812105,1.9431976889746867e-06,0.0,0.0005921496030651736,0.0008669235426742651
Mira_C,CG,0.03790565559947144,0.0021231835167993167,7.498274880899925e-07,9.991331023470161e-13,0.0022860843423733435,0.00031750419181319264
Mira_C,FT,0.18716994846477578,0.0040422496854217544,4.895417857103477e-07,0.0,0.0001578006587529792,0.0009102976331282799
Mira_C,HF,0.24625426689594737,0.006857401850747714,5.221324879272256e-05,7.228132003677278e-05,0.004790265350726379,0.0004531918617654944
Noortje_C,All,0.0009826766326961312,0.008285450937725713,0.002548678967817754,0.0008221710505175961,0.01599549415414462,0.005398424534724748
Noortje_C,BS,0.00012008998554734601,0.008711324492504415,0.002038706158409569,2.0338469095702892e-05,0.005617864951283314,0.004682371910052939
Noortje_C,CG,0.0005244804457144015,0.003228836970792035,0.0009837169849812978,0.0,0.022644372396787654,0.028147359220813857
Noortje_C,FT,0.0009497630886355161,0.008918245852645073,0.001995238363494044,0.004843011465901081,0.010592119249098725,0.0072991671587500475
Noortje_C,HF,0.00050154659084029,0.011489459114372021,0.0026293331977071807,0.00114664687122901,0.04284731347636826,0.004692884060937235
Peuter_C,All,0.0,0.2119518911071654,0.04253864158550486,0.001592850915777625,0.003723991233829315,0.0
Peuter_C,BS,0.0,0.2266023682420368,0.019850508212312067,0.0011216980105723108,0.007213234010893967,1.6352632394194098e-05
Peuter_C,CG,0.0,0.1333506699773825,0.02200491040432537,0.000694620860860519,0.007115655134307365,0.0
Peuter_C,FT,0.0,0.27183004990110626,0.006957249207524749,0.0006068634761566196,0.0022981953945490304,0.0
